Quantity,InvoiceDate,UnitPrice
12,9/21/2011 13:33,1.69
24,10/14/2011 14:22,0.42
1,11/6/2011 16:13,2.08
3,12/13/2010 11:21,3.36
2,12/6/2010 15:13,1.25
8,9/15/2011 14:58,4.15
1,10/20/2011 14:41,1.25
1,3/28/2011 15:49,1.63
6,12/6/2011 11:05,2.95
1,12/17/2010 14:41,3.36
3,11/21/2011 15:57,2.95
1,3/30/2011 13:05,1.65
3,8/15/2011 14:10,2.1
30,3/29/2011 16:40,1.95
1,4/26/2011 16:54,5.79
3,10/12/2011 10:51,5.95
2,11/24/2011 9:26,4.13
12,2/1/2011 15:11,1.25
1,3/1/2011 16:22,4.13
12,11/8/2011 14:53,1.25
2,9/28/2011 13:07,2.1
1,9/2/2011 16:39,4.13
2,12/20/2010 10:14,0.85
1,1/7/2011 13:55,8.47
4,12/6/2011 14:52,12.75
12,8/12/2011 14:47,1.25
1,12/7/2010 11:48,0.0
-2,6/13/2011 16:15,3.75
3,12/10/2010 12:44,5.95
1,10/18/2011 17:00,0.79
4,5/24/2011 12:04,2.55
5,5/6/2011 19:53,0.42
1,9/15/2011 12:51,1.65
1,12/6/2010 16:57,3.36
24,9/5/2011 9:45,0.83
1,5/17/2011 15:27,0.0
2,12/6/2010 16:57,1.66
6,6/7/2011 13:47,0.3
1,11/29/2011 11:32,0.65
1,5/23/2011 12:38,2.08
5,8/11/2011 14:04,1.65
1,1/27/2011 11:30,4.13
1,5/18/2011 9:52,1.25
1,9/28/2011 15:18,0.42
4,10/5/2011 11:37,4.95
24,10/28/2011 10:56,10.95
20,7/26/2011 15:29,0.85
12,12/2/2010 13:11,1.25
6,4/28/2011 13:35,6.65
6,1/9/2011 15:56,2.95
3,3/22/2011 12:25,2.55
48,4/15/2011 11:15,1.85
2,5/31/2011 14:18,1.25
3,11/13/2011 10:35,3.75
2,11/30/2011 15:13,4.96
2,1/12/2011 16:57,2.1
1,7/18/2011 13:13,0.0
11,10/4/2011 12:38,1.69
4,6/12/2011 14:15,1.65
3,3/18/2011 12:08,4.13
12,3/18/2011 13:19,0.85
4,8/11/2011 12:44,4.95
4,12/5/2011 12:51,1.65
2,6/21/2011 15:41,5.75
-22,3/3/2011 16:13,0.0
2,6/23/2011 13:39,1.25
1,12/10/2010 9:51,2.51
12,2/25/2011 10:19,1.25
16,10/17/2011 15:18,0.42
6,4/14/2011 12:42,4.25
4,6/22/2011 10:13,4.95
11,11/27/2011 13:18,4.96
2,11/4/2011 13:04,5.95
3,11/29/2011 15:06,0.42
10,10/11/2011 12:27,1.65
1,3/23/2011 15:37,1.95
1,12/6/2010 10:08,16.98
12,7/12/2011 15:42,2.08
3,1/20/2011 18:08,3.29
2,8/30/2011 12:26,1.63
2,11/4/2011 10:08,1.45
18,5/11/2011 10:32,1.45
2,4/3/2011 15:07,0.55
24,7/24/2011 11:25,1.25
4,10/27/2011 18:02,8.25
3,10/30/2011 11:19,1.65
8,8/9/2011 11:56,0.85
1,12/7/2011 14:43,2.08
3,10/27/2011 13:33,2.1
12,5/31/2011 14:18,0.83
7,2/2/2011 17:06,0.65
12,2/23/2011 10:27,1.95
12,3/20/2011 13:33,1.65
12,7/29/2011 13:39,2.95
12,1/20/2011 15:22,1.25
12,10/3/2011 10:09,0.83
12,9/2/2011 9:51,1.65
7,1/10/2011 14:32,0.85
4,1/26/2011 16:43,0.83
6,10/11/2011 10:43,2.55
6,8/2/2011 10:34,2.95
1,6/7/2011 17:09,5.79
48,2/20/2011 14:21,0.85
1,4/4/2011 14:41,1.25
24,9/1/2011 14:47,0.55
24,12/14/2010 12:59,0.42
5,5/8/2011 13:07,2.08
2,9/9/2011 12:42,6.35
3,1/12/2011 11:46,5.95
2,12/16/2010 13:44,7.95
6,10/7/2011 11:43,2.08
3,11/21/2011 15:18,2.46
12,11/1/2011 14:29,0.39
1,1/27/2011 12:40,5.45
24,12/1/2011 8:52,0.65
24,12/14/2010 11:51,0.85
1,4/4/2011 15:54,1.63
12,1/17/2011 14:18,0.85
2,2/14/2011 13:19,4.95
1,10/17/2011 13:57,4.15
1,10/10/2011 9:56,16.63
3,11/17/2011 14:56,2.95
1,3/30/2011 16:34,0.83
2,12/2/2011 10:52,1.25
1,1/6/2011 15:42,4.25
1,11/23/2011 13:39,4.13
12,11/21/2011 9:51,0.85
-1,3/28/2011 16:02,1.65
3,9/11/2011 13:22,0.85
2,4/8/2011 15:44,1.63
1,4/26/2011 9:48,7.46
2,12/17/2010 14:54,1.28
1,4/10/2011 13:48,1.25
3,1/31/2011 10:31,2.46
1,6/14/2011 17:28,4.13
240,7/28/2011 15:16,1.85
3,3/3/2011 14:12,15.0
6,10/21/2011 9:20,3.75
4,6/9/2011 13:46,3.75
2,4/15/2011 16:11,0.42
1,5/10/2011 15:08,19.96
2,3/7/2011 12:00,1.45
12,10/16/2011 13:23,3.75
10,10/17/2011 9:37,2.08
6,2/4/2011 12:29,2.25
5,4/13/2011 11:40,9.95
1,4/5/2011 16:27,0.83
1,8/1/2011 17:37,7.95
6,10/3/2011 12:47,2.08
1,5/24/2011 15:54,1.63
6,12/9/2010 19:23,1.25
5,11/2/2011 15:33,7.46
6,5/9/2011 16:27,0.83
1,7/17/2011 15:59,2.1
12,10/24/2011 14:10,2.89
16,1/26/2011 16:41,3.39
6,9/20/2011 12:53,1.45
2,9/18/2011 11:58,0.85
2,11/13/2011 16:18,0.65
50,11/4/2011 9:05,0.42
12,5/12/2011 16:11,2.55
1,9/7/2011 12:04,3.29
48,1/21/2011 13:07,2.55
4,11/22/2011 12:48,2.95
1,11/25/2011 16:14,5.79
1,11/14/2011 15:27,2.46
4,8/26/2011 13:25,2.08
1,8/28/2011 12:28,4.95
1,3/21/2011 16:32,1.95
24,10/10/2011 14:57,1.25
12,6/1/2011 9:26,0.83
2,9/1/2011 16:46,1.25
3,4/19/2011 15:54,0.42
6,4/5/2011 11:29,0.85
6,2/4/2011 14:43,2.95
12,7/19/2011 11:47,1.65
2,10/28/2011 13:00,7.95
4,11/23/2011 14:07,2.55
72,3/3/2011 10:59,2.55
2,11/9/2011 17:47,9.95
6,4/26/2011 12:31,2.95
3,6/20/2011 9:41,0.83
1,11/8/2011 9:29,2.46
2,12/7/2010 18:36,7.62
4,1/21/2011 15:36,3.75
1,11/17/2011 15:17,4.96
6,11/4/2011 13:05,2.1
1,9/18/2011 14:56,8.25
2,10/17/2011 9:37,7.95
1,10/9/2011 10:48,0.83
40,7/24/2011 12:33,1.65
1,6/15/2011 14:26,0.42
1,5/13/2011 15:53,5.79
48,8/24/2011 16:13,0.42
12,3/30/2011 11:39,4.95
2,12/15/2010 9:49,7.95
3,6/9/2011 15:34,0.83
1,3/21/2011 16:32,5.95
2,6/5/2011 14:06,2.95
4,3/10/2011 14:14,4.95
2,12/8/2011 9:28,12.46
12,12/2/2010 18:46,1.25
50,8/4/2011 16:36,2.08
2,11/27/2011 12:26,4.25
5,6/8/2011 13:35,1.25
1,9/1/2011 14:29,1.65
5,9/26/2011 15:28,0.83
5,1/14/2011 11:05,2.1
12,3/24/2011 13:17,3.75
48,5/12/2011 14:46,2.55
1,6/29/2011 15:58,10.95
1,6/20/2011 15:32,1.63
50,11/10/2011 18:46,0.42
1,12/8/2010 12:46,1.25
12,3/8/2011 14:35,1.25
1,5/10/2011 12:53,2.55
6,12/6/2010 10:43,2.95
12,11/6/2011 14:56,1.25
3,11/6/2011 11:43,1.95
3,6/16/2011 12:45,0.12
10,8/22/2011 14:38,2.1
20,12/6/2011 8:46,2.08
1,9/23/2011 17:02,4.13
5,3/24/2011 13:16,0.42
1,7/6/2011 11:52,1.45
6,3/7/2011 13:37,2.95
1,9/23/2011 17:02,10.79
5,7/11/2011 17:07,2.08
1,2/28/2011 10:15,3.29
1,7/21/2011 9:31,7.46
4,5/22/2011 14:05,3.75
3,6/26/2011 13:45,4.25
4,9/6/2011 16:02,4.25
2,10/18/2011 17:05,4.13
12,10/27/2011 16:31,1.25
1,7/20/2011 16:12,8.29
6,2/22/2011 15:46,0.85
2,10/19/2011 12:11,1.25
80,3/29/2011 13:27,1.65
12,6/5/2011 11:42,1.25
1,11/24/2011 9:21,4.13
1,11/7/2011 11:40,2.1
23,11/29/2011 11:21,4.96
1,7/25/2011 17:11,2.46
6,10/14/2011 12:55,2.95
8,7/25/2011 12:58,2.25
1,8/24/2011 14:28,4.95
1,12/9/2010 20:01,1.65
16,5/8/2011 16:10,1.69
1,9/14/2011 15:54,2.46
5,9/13/2011 13:47,1.65
3,2/22/2011 16:15,1.25
1,8/3/2011 12:54,2.1
1,10/31/2011 14:09,901.58
1,9/26/2011 10:57,7.95
1,12/13/2010 15:37,7.95
8,6/12/2011 10:47,1.69
12,10/12/2011 11:58,0.39
24,10/13/2011 14:59,1.25
10,9/9/2011 14:12,2.08
2,9/9/2011 15:09,12.75
2,6/6/2011 16:06,3.29
84,11/29/2011 16:16,2.1
12,5/13/2011 15:24,1.25
4,11/17/2011 17:50,3.75
1,12/22/2010 14:41,0.0
4,4/21/2011 10:52,0.85
12,7/11/2011 14:40,1.65
1,12/13/2010 11:21,5.91
4,8/24/2011 12:20,3.95
10,11/6/2011 15:53,1.65
3,11/20/2011 12:40,1.25
48,10/12/2011 9:35,2.08
6,5/20/2011 12:38,2.1
4,2/7/2011 14:16,2.95
10,10/28/2011 9:39,7.08
2,8/1/2011 17:37,4.25
24,7/29/2011 12:03,0.42
42,6/29/2011 15:58,0.42
160,5/4/2011 13:34,2.55
8,1/5/2011 9:44,4.25
1,11/25/2011 11:54,0.85
2,11/1/2011 11:35,1.65
2,2/10/2011 17:40,1.49
12,6/22/2011 14:43,1.25
24,9/6/2011 9:51,2.75
8,5/5/2011 17:13,14.95
1,11/2/2011 13:19,4.15
12,4/28/2011 9:12,1.95
3,8/18/2011 15:17,1.25
12,11/3/2011 17:53,6.35
24,10/6/2011 16:15,0.85
10,9/26/2011 11:02,2.1
1,9/8/2011 15:27,4.96
4,10/6/2011 14:17,3.75
6,9/14/2011 15:33,1.45
1,2/28/2011 16:50,2.9
2,4/18/2011 16:37,4.95
16,10/13/2011 15:08,0.65
3,7/7/2011 16:30,0.83
1,8/10/2011 16:51,2.46
4,11/23/2011 13:51,0.42
3,4/27/2011 12:08,0.83
1,12/7/2010 15:32,8.47
12,12/1/2010 12:22,1.69
2,1/23/2011 16:02,4.65
2,3/9/2011 12:35,4.25
24,6/1/2011 10:15,0.85
8,3/1/2011 12:26,1.69
4,7/7/2011 8:21,4.95
10,1/11/2011 11:32,2.1
1,10/5/2011 15:56,1.63
2,5/20/2011 10:37,6.75
1,3/9/2011 12:35,1.65
1,6/29/2011 15:58,2.92
1,7/20/2011 16:12,0.63
1,12/6/2010 10:08,5.06
12,4/27/2011 14:28,1.06
1,11/20/2011 15:00,2.1
1,12/20/2010 10:14,25.49
2,10/28/2011 10:45,12.5
5,4/4/2011 12:42,2.08
1,11/28/2011 15:54,4.13
3,9/28/2011 15:42,1.65
1,6/21/2011 17:08,4.13
-4,2/10/2011 16:40,1.45
12,12/4/2011 15:38,1.25
25,10/25/2011 13:07,0.42
1,9/23/2011 17:02,4.13
4,6/5/2011 13:46,7.95
6,9/21/2011 15:32,1.63
12,11/17/2011 16:35,1.65
2,10/10/2011 16:06,8.25
1,11/15/2011 11:37,2.08
10,1/26/2011 12:36,1.65
1,12/12/2010 12:08,1.65
3,12/17/2010 16:59,11.02
10,3/9/2011 11:28,1.95
12,2/28/2011 12:57,1.65
1,5/4/2011 11:12,2.1
2,6/8/2011 15:24,4.13
12,9/25/2011 13:42,0.42
3,12/9/2010 16:53,3.75
12,12/9/2010 13:57,1.65
2,9/23/2011 12:58,4.25
2,8/23/2011 10:29,9.95
2,12/9/2010 16:31,4.21
1,9/27/2011 10:52,4.13
1,2/16/2011 12:11,4.95
4,12/5/2011 11:49,0.42
12,3/22/2011 11:27,1.25
1,10/13/2011 15:25,1.25
12,11/29/2011 15:59,2.95
12,5/26/2011 12:46,2.1
1,11/28/2011 11:18,2.1
12,2/8/2011 14:58,1.25
1,12/9/2010 14:09,2.51
-1,12/2/2011 11:34,4.95
5,1/21/2011 15:57,1.65
20,8/25/2011 11:09,0.85
24,2/23/2011 9:14,0.29
12,3/28/2011 9:30,0.85
1,9/23/2011 17:04,0.83
96,1/21/2011 11:18,2.55
3,8/4/2011 16:38,5.79
1,8/11/2011 17:28,4.13
1,11/20/2011 14:07,2.95
1,1/21/2011 17:09,1.63
2,2/21/2011 11:42,7.95
1,8/10/2011 10:45,0.85
1,11/14/2011 15:22,3.29
96,11/8/2011 11:51,1.79
7,11/4/2011 15:52,0.83
2,3/10/2011 12:16,7.95
5,11/28/2011 13:56,0.85
4,2/4/2011 13:03,3.29
6,11/29/2011 12:09,1.65
36,6/7/2011 14:22,0.65
4,1/19/2011 15:08,0.83
1,12/6/2011 12:21,2.08
12,7/4/2011 11:35,1.25
1,6/21/2011 16:36,14.13
1,1/18/2011 17:34,0.83
1,12/15/2010 15:50,8.5
-1,3/10/2011 11:19,8.5
12,10/12/2011 14:56,0.85
2,10/6/2011 16:08,12.46
1,10/3/2011 11:34,0.85
120,11/4/2011 10:57,2.66
2,7/1/2011 12:33,0.29
1,11/2/2011 15:33,3.29
5,4/6/2011 11:14,6.63
3,5/18/2011 14:50,2.1
5,1/24/2011 16:05,1.65
20,4/14/2011 8:14,0.85
1,11/18/2011 12:57,2.95
72,11/17/2011 18:29,0.12
24,9/12/2011 12:45,0.39
3,8/31/2011 17:16,3.75
-2,12/1/2011 8:43,6.95
5,4/19/2011 14:23,0.12
24,9/25/2011 15:59,0.79
1,10/21/2011 11:30,1.25
1,10/19/2011 11:27,2.89
1,10/31/2011 14:41,4.96
1,1/19/2011 15:08,10.79
10,12/6/2011 14:40,2.08
2,5/9/2011 10:06,7.95
4,4/14/2011 12:42,6.75
1,12/8/2011 13:50,5.95
4,12/14/2010 12:30,2.55
36,6/7/2011 12:47,0.21
12,9/18/2011 15:41,1.25
4,8/30/2011 9:36,3.75
1,10/16/2011 14:35,9.95
1,9/13/2011 15:37,5.95
1,12/6/2011 12:18,1.95
6,3/14/2011 10:38,2.95
4,4/11/2011 10:00,3.29
21,10/31/2011 14:41,0.42
1,11/18/2011 15:59,1.63
1,12/14/2010 15:52,5.91
12,9/9/2011 10:42,0.39
6,6/6/2011 13:43,2.95
12,9/7/2011 10:23,0.85
4,6/30/2011 13:14,0.42
6,9/20/2011 14:33,7.95
6,11/6/2011 10:29,2.95
4,9/11/2011 13:51,1.95
-12,10/6/2011 15:16,0.0
12,10/26/2011 13:27,1.65
1,10/3/2011 16:04,1.25
1,10/24/2011 17:03,8.29
3,11/9/2011 9:34,5.95
1,3/24/2011 13:41,4.95
24,9/28/2011 16:04,0.85
2,12/5/2011 16:05,6.65
48,10/19/2011 10:48,1.45
1,7/6/2011 13:56,1.25
18,7/18/2011 11:55,2.1
1,3/10/2011 15:01,1.95
1,2/24/2011 10:29,2.95
10,6/21/2011 11:57,1.65
4,11/25/2011 14:25,4.13
1,12/5/2011 17:28,3.29
24,9/11/2011 12:46,0.29
96,1/28/2011 12:11,2.55
4,6/8/2011 17:59,0.83
4,1/24/2011 9:52,1.65
2,9/1/2011 19:11,2.08
3,10/6/2011 16:01,0.85
1,11/2/2011 15:38,9.96
12,1/21/2011 9:03,1.65
2,4/10/2011 15:19,3.75
1,3/23/2011 13:39,9.95
5,1/9/2011 15:23,1.65
64,2/18/2011 12:31,3.39
1,7/20/2011 16:12,0.83
6,10/13/2011 13:53,2.1
12,4/14/2011 13:59,1.45
10,6/27/2011 10:17,2.08
1,3/29/2011 15:30,1.63
1,11/23/2011 13:39,5.79
4,1/11/2011 12:55,0.85
6,10/25/2011 12:54,0.85
1,7/19/2011 10:51,0.42
-323,3/22/2011 11:45,0.0
1,4/1/2011 15:37,3.75
1,1/31/2011 9:48,7.46
1,12/1/2011 18:43,12.5
12,12/19/2010 10:21,1.25
4,12/6/2010 11:26,2.1
6,6/20/2011 13:14,0.42
1,11/29/2011 16:47,2.46
10,12/23/2010 13:26,1.66
12,1/25/2011 11:41,1.25
48,11/30/2011 14:05,1.04
25,10/13/2011 12:59,0.42
1,10/31/2011 14:41,15.79
72,12/6/2011 9:31,0.79
2,3/7/2011 17:14,2.46
1,9/15/2011 16:37,2.46
2,12/1/2010 17:06,4.21
1,12/23/2010 12:13,12.72
2,5/16/2011 10:50,0.85
3,10/19/2011 12:11,0.42
1,10/11/2011 16:29,4.13
12,12/16/2010 14:32,1.65
2,12/8/2010 10:40,0.55
20,7/7/2011 12:36,1.65
6,10/4/2011 12:22,0.55
2,2/10/2011 10:18,8.5
6,10/31/2011 12:25,1.95
108,7/1/2011 13:17,0.21
12,2/13/2011 12:17,1.25
2,5/31/2011 15:26,1.45
4,7/11/2011 16:21,0.83
3,11/10/2011 19:12,3.75
7,12/7/2011 10:35,4.13
1,10/24/2011 11:33,1.25
3,11/23/2011 12:45,2.1
6,7/5/2011 15:14,1.95
12,8/15/2011 8:26,1.25
8,1/21/2011 13:07,3.39
1,10/31/2011 11:59,1.45
8,11/8/2011 11:45,1.45
16,11/17/2011 12:54,1.25
10,1/14/2011 10:42,1.95
2,11/22/2011 11:47,3.75
-1,8/11/2011 15:45,1.25
8,8/1/2011 12:48,2.95
2,4/4/2011 14:28,12.75
5,9/1/2011 14:29,1.65
8,2/8/2011 12:01,2.1
2,12/9/2010 11:28,2.55
10,8/18/2011 16:43,2.08
8,4/7/2011 19:05,1.69
24,9/30/2011 15:33,1.25
2,12/19/2010 14:16,1.65
20,4/19/2011 12:08,1.65
6,2/1/2011 8:31,2.95
1,8/30/2011 10:31,0.83
3,3/22/2011 11:43,9.95
1,10/21/2011 14:42,3.75
1,12/6/2011 12:15,3.75
24,11/28/2011 12:45,1.25
3,12/20/2010 13:43,0.43
24,11/22/2011 13:29,1.25
6,5/11/2011 12:59,1.65
1,5/24/2011 12:14,8.5
2,2/10/2011 11:39,7.95
4,4/13/2011 15:49,2.1
1,10/9/2011 15:24,6.95
24,10/24/2011 16:20,0.39
4,10/4/2011 12:43,4.95
2,7/3/2011 10:11,5.95
10,12/7/2011 10:43,2.08
2,4/14/2011 10:10,1.25
1,10/6/2011 13:29,4.15
2,3/11/2011 16:21,2.95
20,1/11/2011 9:47,0.85
-3,10/21/2011 13:58,0.42
2,11/28/2011 11:42,6.95
10,6/8/2011 12:44,1.65
4,11/3/2011 12:45,0.55
12,9/22/2011 18:07,0.85
1,12/12/2010 12:26,2.1
24,8/23/2011 10:24,0.85
2,9/7/2011 16:15,1.63
2,2/13/2011 15:18,1.95
1,2/14/2011 12:32,3.29
2,3/11/2011 11:37,7.95
1,11/13/2011 14:20,5.95
2,11/29/2011 11:23,15.79
1,12/7/2011 17:05,0.85
1,3/29/2011 13:46,144.75
36,9/16/2011 14:53,0.39
12,9/9/2011 11:48,1.65
4,10/17/2011 12:04,4.15
1,7/6/2011 12:39,0.42
25,4/13/2011 13:47,0.42
3,7/20/2011 16:17,2.46
2,3/17/2011 12:37,10.75
6,10/26/2011 12:03,2.1
10,10/6/2011 15:51,2.08
1,2/22/2011 16:28,1.63
4,12/15/2010 14:12,0.85
4,9/23/2011 12:38,0.42
1,8/1/2011 16:07,4.13
2,10/25/2011 12:12,3.25
2,11/30/2011 15:13,3.29
24,1/28/2011 16:18,0.85
6,10/14/2011 11:39,4.15
6,4/17/2011 14:06,3.75
6,8/30/2011 12:31,2.46
3,3/31/2011 14:33,4.96
-1,11/6/2011 11:44,1.65
5,7/29/2011 9:11,2.1
5,12/12/2010 10:48,0.85
4,10/18/2011 12:49,3.75
1,11/14/2011 13:42,0.95
1,12/2/2010 13:49,2.95
24,6/17/2011 10:12,4.95
1,1/16/2011 16:10,3.95
12,9/21/2011 11:48,1.25
2,5/19/2011 17:23,7.5
1,9/21/2011 15:39,7.5
-1,7/8/2011 13:40,2.75
25,6/9/2011 9:32,0.42
1,1/5/2011 11:30,4.24
1,10/6/2011 13:29,0.83
48,7/31/2011 13:33,0.29
2,2/24/2011 15:01,10.75
2,6/27/2011 12:58,9.95
15,10/11/2011 13:13,0.39
3,9/22/2011 12:41,2.1
1,7/20/2011 16:17,16.63
1,12/8/2011 13:36,3.75
12,12/13/2010 15:37,6.95
4,10/17/2011 17:24,3.75
1,11/14/2011 15:27,1.63
3,12/13/2010 13:25,12.75
1,6/2/2011 11:13,0.85
1,6/16/2011 17:37,16.95
2,5/10/2011 15:07,10.79
12,7/13/2011 14:39,2.55
2,1/5/2011 14:44,8.47
12,11/13/2011 15:02,0.85
6,1/11/2011 12:11,1.25
1,2/3/2011 11:39,1.25
2,9/8/2011 12:55,4.95
1,3/11/2011 16:21,4.13
1,10/25/2011 15:19,4.95
4,1/7/2011 14:31,1.25
10,1/31/2011 15:52,2.1
4,7/6/2011 10:04,0.85
1,8/12/2011 16:36,0.83
6,7/7/2011 10:40,4.95
12,6/9/2011 12:40,0.85
3,2/11/2011 12:36,3.75
12,1/18/2011 13:38,0.85
324,12/8/2011 18:43,3.39
25,8/11/2011 11:51,0.42
2,11/22/2011 14:04,4.25
2,8/30/2011 12:40,10.79
10,1/4/2011 12:51,0.42
2,5/8/2011 13:32,8.95
2,5/10/2011 15:09,4.13
12,12/8/2010 9:51,0.85
1,3/8/2011 15:34,1.63
6,10/11/2011 11:38,2.95
1,11/16/2011 15:16,2.46
1,5/9/2011 16:27,3.29
12,9/12/2011 13:16,1.25
10,5/26/2011 9:17,2.08
-12,1/28/2011 9:32,0.85
1,7/13/2011 16:07,1.63
12,9/25/2011 14:53,3.25
3,11/11/2011 10:21,2.46
6,3/14/2011 10:31,2.95
1,8/30/2011 12:02,1.63
1,7/22/2011 9:20,16.63
1,10/7/2011 15:09,5.79
63,4/6/2011 11:14,2.08
1,4/21/2011 16:17,3.29
1,5/24/2011 10:17,7.95
2,10/21/2011 14:01,1.25
2,11/13/2011 13:45,2.1
6,1/27/2011 10:43,6.95
4,1/28/2011 13:27,4.25
6,5/11/2011 14:37,2.1
12,3/25/2011 12:04,1.25
96,8/24/2011 14:57,0.39
24,11/1/2011 14:54,0.19
10,4/20/2011 13:18,1.25
6,12/6/2011 11:41,0.39
4,5/25/2011 17:31,1.25
6,9/8/2011 13:38,3.75
9,10/21/2011 11:43,1.45
2,11/3/2011 15:09,1.65
1,1/11/2011 13:16,1.66
4,1/12/2011 13:30,1.69
5,7/28/2011 16:06,0.38
10,6/30/2011 13:45,2.1
1,11/21/2011 17:33,2.89
3,7/17/2011 12:32,2.55
3,5/25/2011 17:06,4.13
3,12/2/2011 10:52,1.25
48,7/26/2011 13:03,0.39
4,11/30/2011 10:44,5.75
1,1/6/2011 14:14,0.85
